,track_name,artist,duration_ms,genres,tempo,loudness,energy,danceability,key,instrumentalness,valence,emotion
155,iSpy,KYLE,253106,"deep underground hip hop, indie pop rap, pop rap",75.016,-6.745,0.653,0.746,7,0.0,0.672,hype
156,Turn My Swag On,Soulja Boy,206333,"atl hip hop, chicago bop, dance pop, pop rap, rap, southern hip hop, trap",150.154,-3.104,0.712,0.546,3,0.0,0.489,hype
157,Tuesday (feat. Drake),ILOVEMAKONNEN,321987,"atl hip hop, lgbtq+ hip hop, trap",140.163,-5.604,0.664,0.77,0,0.000118,0.472,hype
158,"Bitch, Don’t Kill My Vibe",Kendrick Lamar,310720,"conscious hip hop, hip hop, rap, west coast rap",133.954,-8.948,0.698,0.587,1,0.0,0.0985,hype
159,Hey Ya!,Outkast,235213,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop",79.526,-2.261,0.974,0.727,4,0.000532,0.965,hype
160,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,177184,"san diego rap, viral trap",108.034,-10.028,0.427,0.886,6,0.00099,0.23,hype
161,You Was Right,Lil Uzi Vert,163944,"hip hop, melodic rap, philly rap, rage rap, rap",81.987,-7.417,0.359,0.843,0,0.0,0.156,hype
162,Plain Jane,A$AP Ferg,173600,"hip hop, pop rap, rap, southern hip hop, trap",170.142,-5.482,0.844,0.797,11,0.0,0.52,hype
163,Down In the DM,Yo Gotti,182733,"dirty south rap, gangster rap, memphis hip hop, rap, southern hip hop, tennessee hip hop, trap",152.927,-7.016,0.662,0.776,1,2.1e-05,0.324,hype
164,Antidote,Travis Scott,262693,"hip hop, rap, slap house",131.05,-5.046,0.526,0.713,1,0.000148,0.131,hype
165,HeadBand (feat. 2 Chainz),B.o.B,220240,"atl hip hop, dance pop, pop rap, rap, southern hip hop",97.465,-7.14,0.506,0.919,1,0.0,0.273,hype
166,No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,263773,"atl hip hop, dirty south rap, pop rap, rap, southern hip hop, trap",131.497,-6.366,0.595,0.76,1,0.0,0.361,hype
167,Dark Knight Dummo (Feat. Travis Scott),Trippie Redd,256162,"melodic rap, rap, trap",181.444,-2.864,0.821,0.28,8,0.0,0.254,hype
168,Bounce Out With That,YBN Nahmir,97343,"alabama rap, rap, trap",94.94,-8.224,0.624,0.865,8,0.0,0.396,hype
